REVIEW;FEELING
Parece bom na foto, mas este caso foi uma grande decepção !!;0
Muito menos do que o osso da mandíbula que eu iria substituí-lo.;1
A instalação correu muito bem.;1
é extremamente lento e leva uma eternidade para fazer qualquer coisa com ele.;0
"Um estudo obrigatório para qualquer pessoa interessada nos ""piores pecados"" do design industrial.";0
A primeira coisa que aconteceu foi que o rastreamento estava desligado.;0
É bem feito, fácil de acessar o telefone e possui um prendedor de cinto destacável e prático.;1
Então tive que continuar emparelhando-o periodicamente, pois de alguma forma continuava caindo.;0
Não é possível fazer upload de toques de terceiros.;0
O Bluetooth não funciona, o telefone trava, as telas piscam e agora ele faz chamadas aleatoriamente enquanto meu bolso está bloqueado.;0
Verdadeiramente horrível.;0
Funciona bem no meu celular Motorola 325 e muito melhor do que a bateria gasta.;1
O volume da campainha é REALMENTE bom (você tem opções de quão alto).;1
E nenhum dos tons é aceitável.;0
o equilíbrio de cores da câmera é INCRÍVEL.;0
"Claramente, este produto não está pronto para o horário nobre; não me importo com o quão legal é, se você não pode dizer que uma ligação está chegando, é inútil.";0
Eu amo os toques porque eles são muito animados!;1
Falsificações chinesas abundam !.;0
Fácil de emparelhar com o meu Samsung Cell.;1
As instruções não explicaram que uma tomada de microfone poderia ser usada.;0
Eu aconselho a não comprar este item que nunca funcionou muito bem.;0
Pena que você tem que pagar até $$$ por mês pelo serviço!;0
Funciona bem.;1
O cabo USB do nokia CA-42 não funcionou com o meu telefone.;0
Som nítido e claro.;1
Eu tenho que usar os menores fones de ouvido fornecidos, mas ele permanece bem.;1
A maior reclamação que tenho é que a bateria é muito rápida.;0
O design pode ser ergonômico em teoria, mas eu não aguentava tê-los no meu ouvido.;0
NÃO compre se você quiser usar o coldre.;0
O telefone também pode tirar ótimas fotos e até videoclipes.;1
Não faz você parecer legal.;0
Como os dois ouvidos estão ocupados, o fundo não é perturbador.;1
Ajuste confortável - você precisa que o fone de ouvido fique confortável por pelo menos uma hora por vez, se não durante um dia inteiro.;1
Além disso, o telefone parece não aceitar nada, exceto mp3 CBR, de preferência copiado pelo Windows Media Player.;0
Você não pode bater o preço com estes.;1
* Vem com uma luz forte que você pode usar para iluminar as fotos da câmera e até piscar sinais SOS (sério!;1
leve e funciona bem.;1
Então, tenha cuidado.;0
Adoro este cabo - ele permite conectar qualquer dispositivo mini-USB ao meu PC.;1
Portanto, qualquer pessoa próxima a você ouvirá parte de sua conversa.;0
Isso é legal porque a maioria dos casos é aberta apenas para permitir que a tela fique toda arranhada.;1
Comprei este telefone como substituto do meu StarTac e lamento desde então.;0
Parece realmente superar a bateria original da China que acompanha o meu V325i.;1
Não é possível armazenar nada além de números de telefone no SIM.;0
Dura menos de 3o minutos, se eu realmente tentar usar o telefone. Minha esposa tem o mesmo telefone com o mesmo problema.;0
Má qualidade.;0
"gel de ouvido jabra ""R"" o melhor !.";1
Não vale a pena.;0
O telefone travou completamente e agora tenho que substituí-lo.;0
Parou de funcionar depois de usá-lo por cerca de 18 meses, então acabei de comprar outro, porque este é o melhor fone de ouvido que já tive.;1
Infelizmente, ele não recarrega meu iPhone 4s, apesar de conectá-lo a partir de várias fontes de energia (iMac, bateria externa, tomada de parede, etc.).;0
Foi um ótimo celular.;1
se você simplesmente quer um telefone flip pequeno - procure outro lugar, pois os sinos e assobios extras são medíocres.;0
Bom valor, funciona bem - alimentação via USB, carro ou tomada.;1
Meu telefone não desliza ao redor do meu carro agora e a aderência impede que meu telefone escorregue da minha mão.;1
Este é simplesmente o MELHOR fone de ouvido bluetooth para qualidade de som!;1
Pense nisso quando você planeja possuir este! Este é certamente o último telefone MOTO para mim!;0
"No espaço de uma hora, duas pessoas exclamaram ""Whoa - esse é o novo telefone na TV?!?";1
Eu sempre usei fones de ouvido com fio e a liberdade da conexão sem fio é muito útil.;1
Este gabinete ultrapassou a marca de um ano e, embora mostre sinais de desgaste, é 100% funcional.;1
"Fora isso, o couro é bonito e macio; o ajuste é muito apertado; o corte para o rosto é uma boa forma.";1
Tem tudo o que preciso e não poderia pedir mais.;1
Depois de receber e usar o produto por apenas 2 dias, ele quebrou.;0
Este produto é ótimo ... torna o trabalho muito mais fácil. Posso ir à copiadora enquanto aguardo algo em espera.;1
Nenhum dos três tamanhos que eles enviaram com o fone de ouvido ficava nos meus ouvidos.;0
A T-Mobile tem o melhor atendimento ao cliente em qualquer lugar.;1
Chegou rapidamente e muito mais barato do que outros vendidos.;1
Tentamos 2 unidades e ambas falharam em 2 meses. Prós;0
Fornece boa proteção e parece elegante também.;1
Krussel Sempre bom.;1
O site do tracfonew é amigável e facilita a ativação, etc.;1
O design é muito bom.;1
Eu ótima recepção o tempo todo.;1
Eu recomendo este produto.;1
Não foi possível usar a unidade com óculos de sol, não é bom no Texas!;0
Não funciona na maioria das vezes com o meu Nokia 5320.;0
Comprou principalmente pelo carregador, que quebrou logo após a compra.;0
Se você gosta de um zumbido alto para substituir todas as suas conversas, este telefone é para você!;0
Compra fantástica e receberei novamente por qualquer que seja o meu próximo telefone;1
fique longe desta loja, tenha cuidado.;0
Este alto-falante do telefone mãos-livres BlueAnt Supertooth é INCRÍVEL.;1
Não serve.;0
.... O item chegou rapidamente e funciona muito bem com o meu telefone deslizante Metro PCS Samsung SCH-r450 e o Sony Premium Sound em tampões para os ouvidos.;1
É leve, possui muita capacidade da bateria e é muito confortável de usar por períodos prolongados.;1
decepcionante.;0
Blue Ant é fácil de usar.;1
Barato, mas olha que funciona .. Fiquei agradavelmente surpreso, dado o baixo custo deste item.;1
A câmera do telefone pode ser usada como uma pá de lixo em ambientes fechados ... Prefiro usar um descartável do que isso.;0
Alguns dias depois, uma nuvem de fumaça saiu do telefone enquanto estava em uso.;0
É muito conveniente e simples de usar - faz o trabalho e torna o carro muito mais suave.;1
O nano afirmou que. Meu filho estava desapontado.;0
A qualidade do som também é excelente.;1
É o melhor fone de ouvido que já usei.;1
Não recomendo.;0
Eles existem há anos e carregam a mais alta qualidade de protetor de tela anti-reflexo que eu encontrei até o momento.;1
Apenas o que eu queria.;1
Este modelo em particular não funcionaria com o meu smartphone Motorola Q.;0
não funcionará direito ou pelo menos para mim.;0
"além disso, parece & amp; parece que o telefone é todo de plástico leve e barato.";0
"Mas agora que está ""fora da garantia"", os mesmos problemas voltam a aparecer. Linha inferior ... coloque seu dinheiro em outro lugar ... A Cingular não suportará.";0
Eu realmente queria que o Plantronics 510 fosse o caminho certo, mas ele tem muitos problemas para mim.;0
Ótimo produto.;1
Fresco e nítido.;1
Após a primeira carga, a carga desapareceu após 12 minutos.;0
Um plástico MUITO barato, range como um velho piso de madeira.;0
Recebo uma recepção absolutamente horrível no meu apartamento, onde com outros telefones eu não tive esse problema.;0
A recepção tem sido geralmente boa.;1
Excelente som, duração da bateria e discreto para inicializar !.;1
Ótimo bluetooth !.;1
Eu recomendo este caso.;1
QUE VALE A PENA.;1
Isso é muito.;1
Depois que meu telefone tinha cerca de um ano, ele foi quebrado lentamente, apesar de muito cuidado da minha parte.;0
Lamento ter feito esta compra.;0
Comprei esses itens esperando poder fazer o meu fone de ouvido Bluetooth se encaixar melhor, mas essas coisas impossibilitavam o uso.;0
A Treo e a T-Mobile se recusaram a substituí-lo novamente e me forçaram a comprar outro telefone sem qualquer tipo de desconto na atualização.;0
Foi horrível!.;0
Eu não acho que seria muito seguro em seu cinto.;0
Isso permite a possibilidade de reserva dupla para a mesma data e hora após a primeira.;0
Eles trabalham cerca de 2 semanas e depois quebram.;0
É simples de usar e eu gosto.;1
É uma ótima ferramenta para entretenimento, comunicação e gerenciamento de dados. Use o ActiveSync 4.2 para obter ótimos resultados de sincronização de dados!;1
Não posso usar este caso porque o cheiro é nojento.;0
NÃO O QUE EU QUERIA.;0
Eu possuo 2 desses casos e pediria outro.;1
Ótimo telefone.;1
Comprei esta bateria com um cupom da Amazon e estou muito feliz com minha compra.;1
O acesso à Internet foi bom, o raro exemplo de que funcionou.;0
Perfeito para o PS3.;1
Cinco estrelas Plus, mais.;1
Uma pechincha de boa qualidade. Comprei isso depois que comprei um barato da Big Lots que parecia horrível e as pessoas do outro lado não conseguiam me ouvir.;1
$ 50 Pelo ralo.;0
Tentei falar bem alto, mas gritar no telefone ficou velho e ainda me disseram que não era ótimo.;0
Bom, funciona bem.;1
Pelo preço, este foi um ótimo negócio.;1
Ótimo preço também!;1
Se houver vento, é completamente inútil.;0
Sim, é brilhante na frente - e eu adoro!;1
Não funciona.;0
No começo, eu pensei que estava ganhando bastante em US $ 7,44, até conectá-lo ao meu telefone (V3c Razr).;0
A recepção através deste fone de ouvido é excelente.;1
2 pontos positivos deste vendedor;1
Eu tenho um telefone da Verizon LG e eles funcionam bem juntos, boa recepção e alcance que excede a 20 pés da linha de visão.;1
Descrição inadequada .... Eu tive que devolvê-lo.;0
# 1 Funciona - # 2 É confortável.;1
A vida útil da bateria é bastante longa.;1
Os Jabra EarGels se encaixam muito bem nos meus ouvidos.;1
A bateria não tem vida útil.;0
Eu verifiquei em todos os lugares e não há nenhum recurso, o que é realmente decepcionante.;0
O produto é exatamente como descrito.;1
Recebe um sinal quando outros telefones da Verizon não o fazem.;1
Não faz o trabalho.;0
Eu recomendaria.;1
Planeje encomendar uma e outra vez.;1
"Dito isto, para um telefone, a câmera é muito boa; muitos efeitos legais para brincar, e o vídeo também é decente.";1
Fiquei muito satisfeito com este telefone celular desde o primeiro dia.;1
Eles continuam melhorando cada vez mais (este é o meu terceiro e eu também tive várias Palms).;1
Inábil de usar e não confiável.;0
O tempo de entrega também foi muito rápido!;1
Não é tão bom quanto eu esperava.;0
Bom caso!;1
Não funciona.;0
Produto realmente bom.;1
Infelizmente não funcionou.;0
Todos os três quebraram dentro de dois meses de uso.;0
não compre.;0
Meu pai tem o V265 e a bateria está acabando.;0
No entanto, os protetores auriculares se soltam facilmente e depois de apenas uma semana eu perdi um.;0
As chamadas caem, o telefone liga e desliga à vontade, a tela fica preta e o pior de tudo deixa de tocar intermitentemente.;0
Horrível, horrível protetor.;0
Também não gosto deste Nokia.;0
Atingir a linha inferior é desconfortável, e as chaves de envio e de finalização não estão onde eu espero que elas estejam.;0
Eu comprei este celular Nokia há algumas semanas e foi um pesadelo.;0
Levaria muito tempo para descrever o quão ruim minha experiência de atendimento ao cliente tem sido com a Amazon.;0
a única coisa MUITO decepcionante foi que não havia nenhum alto-falante !!!!;0
Terrível .. Meu carro não aceita esta fita.;0
O produto é inútil, pois não possui corrente de carga suficiente para carregar os dois celulares com os quais eu planejava usá-lo.;0
Não é o que diz que é.;0
Fique longe do Q !.;0
Usado e sujo.;0
Serviço muito confiável da T-mobile!;0
Não é bom o suficiente para o preço.;0
Eu comprei dois deles e nenhum deles cobrará.;0
Parece muito bom.;1
Essa é uma excelente ferramenta, especialmente quando combinada com a resposta automática do seu telefone.;1
Eu li os comentários de outros aqui, mas não tive nenhum problema com isso.;1
Esses produtos encobrem o importante sensor de luz acima da saída do ouvido.;0
Confortável na minha mão.;1
Apenas não funciona.;0
Baixa confiabilidade.;0
(Funciona!);1
Se eu tirar uma foto, a bateria cai uma barra e começa a emitir um sinal sonoro, informando que está morrendo.;0
Produto terrível e desperdício de dinheiro!;0
Última vez comprando de você.;0
Foi um desperdício do meu dinheiro.;0
Até agora, funcionou como um encanto.;1
Eu só tenho há algumas semanas, mas até agora, tudo bem.;1
Mas, em qualquer caso, a melhor parte é que você pode baixar essas fotos para o seu laptop usando IR, ou até mesmo enviar fotos do seu laptop para o telefone.;1
Recomendaria este item.;1
"É o meu fone de ouvido preferido há anos. Ótimo som; bom volume; bom cancelamento de ruído.";1
Bom caso, é bom em suas mãos.;1
O item recebido foi Falsificado.;0
Muito bom .. Até agora, provavelmente o melhor fone de ouvido BT que eu já tive.;1
Funciona bem.;1
Recebi meu fone de ouvido em tempo útil e fiquei feliz com ele.;1
Fiquei muito satisfeito ao ver que eu poderia substituir meu coldre giratório bem dobrado pelo meu flip Blackberry.;1
Minha irmã também tem uma e ela adora.;1
Boa qualidade.;1
Esta é de longe a pior compra que já fiz na Amazon.;0
Excelente fone de ouvido de dupla finalidade.;1
Excelente!.;1
Não funciona para ouvir música com o cingular 8125.;0
Parece completamente seguro, segurando o meu cinto e mantendo o iPhone dentro.;1
A linha de fundo ... outro truque barato e sem valor da Sprint.;0
Tendo problemas com o volume.;0
A única coisa boa é que se encaixa confortavelmente em orelhas pequenas.;1
AVISO - NÃO COMPRE !!.;0
Estou emparelhando isso com o meu iphone e não poderia estar mais feliz com ele até agora.;1
Quando é aberta, a conexão da bateria é interrompida e o dispositivo é desligado.;0
Não queria que o clipe passasse por cima da minha orelha, causando desconforto.;0
Melhor fone de ouvido de todos os tempos !!!.;1
Não confie no site deles e não espere nenhum suporte útil.;0
Era alto o suficiente para dizer que o Plantronics 510 mantém uma conexão perfeita com o meu celular e sem estática durante o uso normal.;1
O alto-falante é de baixa qualidade, fazendo com que os toques soem muito baratos.;0
Cabe confortavelmente, veio com três tamanhos de dicas de fones de ouvido.;1
Excelente produto pelo preço.;1
Má recepção.;0
Este produto é de alta qualidade EXCREMENTO chinês !!!!!!;0
Era bastante confortável no ouvido.;1
Ótimo telefone.;1
Não compre este produto - ele falha !.;0
Tudo neste produto está errado.;0
O emparelhamento dos dois dispositivos foi tão fácil que demorou alguns minutos para eu começar a fazer chamadas com o recurso de discagem por voz.;1
Isso foi totalmente confuso no começo, o que me levou a perder alguns contatos muito, muito importantes.;0
Terrible phone holder.;0
Os recortes e botões são colocados perfeitamente.;1
Adoro poder usar um fone de ouvido tanto por telefone fixo quanto por celular.;1
O problema é que as alças são feitas de material fraco e quebram facilmente.;0
Não é tão bonito quanto a imagem da AMAZON faz parecer.;0
Mas, apesar dessas poucas falhas, este gabinete é de qualidade excepcional e vale os custos adicionais de possuir um produto oficial do OEM.;1
Quão estúpido é isso?;0
Eu posso ouvir enquanto estou dirigindo o carro, e geralmente nem preciso colocá-lo no ambiente mais alto.;1
Vendedor enviado rapidamente e muito mais barato que os concorrentes.;1
Bom show, Samsung.;1
Então, eu comprei cerca de 10 delas e economizei muito dinheiro.;1
Ele sempre corta e emite um sinal sonoro e, em seguida, indica que o sinal falhou.;0
Não foi possível descobrir;0
Meu telefone parecia bom (nada bom - OK), mas o telefone da minha esposa era quase totalmente ininteligível, ela não conseguia entender uma palavra dita nele.;0
Então eu tive que tirar a bateria do telefone, juntar tudo novamente e depois reiniciá-la.;0
Enquanto eu conseguia dobrar a mola de folhas de volta no lugar, o metal agora tem tensão suficiente para quebrar na próxima gota.;0
A cópia do leopardo é maravilhosamente selvagem !.;1
Funciona para mim.;1
Flacidez, pedaço de lixo flexível.;0
muito melhor do que os casos de plástico rígido.;1
Também teve um novo problema.;0
Feliz até agora!;1
telefone legal.;1
Funciona bem.;1
A Motorola finalmente conseguiu a qualidade de voz de um fone de ouvido bluetooth.;1
Ele perde a conexão com o telefone, mesmo quando está a alguns centímetros entre os dois.;0
mas é ótimo, eu realmente recomendo;1
Torna mais fácil acompanhar o meu bluetooth quando não o estou usando.;0
Como eu disse acima .... MUITO INÚTIL!;0
Nunca entendi !!!!!;0
Este par de fones de ouvido é o pior que já tive em termos de som.;0
[...] pelo ralo por causa de um estalo fraco!;0
Não carrega o telefone Cingular (ATT) 8525.;0
"Você recebe minutos extras para poder atender a chamada e não ser cortado. """;1
No entanto, após cerca de um ano, o fliptop começou a ficar solto e trêmulo e, eventualmente, minha tela ficou preta e eu não consegui receber e fazer chamadas.;0
Continuei pegando o cabo no banco e tive que puxar o telefone para desligá-lo.;0
O fone de ouvido atende aos meus requisitos, por isso estou feliz com minha compra.;1
O fone de ouvido Bluetooth da Logitech é um 10 !.;1
Eu gosto do fato de que ele repousa levemente contra seu ouvido, e não por dentro.;1
Muitos sites classificaram esse telefone muito bom, e eu também.;1
Eu tentei esses cabos com meu computador e meu iPod e funciona muito bem.;1
O microfone é uma piada e o volume é bastante baixo.;0
Vou devolvê-los.;0
Não mantenho uma conexão com o computador enquanto ele está no meu colo.;0
É fácil ligar e desligar quando você está no carro e os controles de volume são bastante acessíveis.;1
Eu tenho o meu há cerca de um ano e, neste Natal, comprei alguns para o resto da família.;1
Caso contrário, fácil de instalar e usar, som nítido.;1
couro legal.;1
Eu tive que comprar um caso diferente.;0
É uma alegria usar.;1
Muito decepcionado com esta empresa.;0
Muito satisfeito com isso.;1
Não foi cobrado por mim.;0
Este é o telefone para comprar em 2005 .... Acabei de comprar meu S710a e tudo o que posso dizer é WOW!;1
Os botões são muito pequenos.;0
Apenas ler apenas as especificações faz você dizer WOW.;1
Adoro .. Ótima braçadeira.;1
Eu realmente gosto deste produto em relação à Motorola, porque é muito mais claro na parte da orelha e no microfone.;1
No entanto, os teclados são tão pequenos que às vezes alcanço os botões errados.;0
Troquei o sony ericson z500a por isso e estou muito feliz com essa decisão.;1
Fiquei muito impressionado com o preço dos casos.;1
Também facilita a manutenção.;1
Eu uso este produto em um centro de controle de motores, onde há muito zumbido de alta tensão no equipamento, e funciona muito bem!;1
É bem fácil.;1
Não consigo fazer ligações em determinados lugares.;0
no entanto, minha garota se queixou de que algum tempo o telefone não acorda como o telefone normal.;0
Estilo bonito embora.;1
Esta empresa cobra uma taxa de reabastecimento e ainda não me devolveu o reembolso.;0
Estou tentando devolvê-lo para um reembolso.;0
Liguei-o apenas para descobrir que nada de danado funcionava.;0
Produto excelente.;1
A peça do fone de ouvido se quebra facilmente.;0
Produto ruim.;0
Este telefone se esforça muito para fazer tudo, mas falha porque é muito capaz de ser um telefone.;0
É o melhor carregador que eu já vi no mercado.;1
MELHOR TELEFONE !!!;1
:-) Oh, o carregador parece funcionar bem.;1
Ele se encaixa com tanta segurança que o gancho do ouvido nem precisa ser usado e o som é direcionado melhor através do canal auditivo.;1
Volume insuficiente.;0
Problema de eco .... Muito insatisfatório;0
você só pode gravar 2 vídeos por vez e a qualidade é muito baixa.;0
não desperdice seu dinheiro.;0
Vou ter que ser o primeiro a analisar negativamente este produto.;0
O adaptador não fornece corrente de carga suficiente.;0
Havia tanta propaganda nesse telefone que eu assumi que era o melhor, meu erro.;0
Você também não pode tirar fotos com o estojo porque a lente está coberta.;0
O telefone cai facilmente.;0
Não deu certo, as pessoas não podem me ouvir quando eu falo.;0
O recurso de mensagens de texto é realmente complicado de usar.;0
Estou realmente decepcionado, tudo o que tenho agora é um carregador que não funciona.;0
Doloroso na orelha.;0
Durou um dia e depois explodiu.;0
desapontado.;0
Tipo de fracassos.;0
A tela fica manchada facilmente porque toca sua orelha e seu rosto.;0
Que lixo ... Perco mais ligações neste telefone.;0
O item não corresponde à imagem.;0
A única coisa que me decepciona é o porto de infravermelho (irda).;0
Você não pode atender chamadas com a unidade, nunca funcionou uma vez!;0
